"798.9431968295905, 0.0000000000000000"
"812.0211360634082, 0.13687068838983407"
"829.8546895640686, 0.13411859680022076"
"848.4128607197538, 0.2872779546765116"
"864.7922044184543, 0.4824208471892746"
"880.4270324944866, 1.9372354998166799"
"894.5728293251825, 3.832074993866044"
"907.2295949105421, 5.72303712153176"
"917.6528136278969, 7.674743272886758"
"925.8424854772472, 10.027604131162008"
"930.3095792132565, 12.340451104531681"
"933.2876417039292, 14.94924303791197"
"936.8613166927366, 17.749288166584464"
"937.7547354399385, 19.297306189803265"
"939.243766685275, 23.471878818511072"
"939.5415729343422, 21.158296521069644"
"941.0306041796787, 25.228499089340445"
"942.2218291759477, 28.081096910267334"
"942.966344798616, 30.80620026062516"
"943.7108604212842, 35.82164660390619"
"944.0831182326183, 33.690700422790854"
"945.4976979156879, 37.52608184451702"
"946.688922911957, 40.11195617766046"
"946.9867291610242, 42.50082493657521"
"948.4757604063607, 45.71867201127715"
"949.9647916516972, 49.19744423707158"
"951.5282744593003, 52.236980969088336"
"952.6450478933027, 54.49091201611379"
"954.4318853877064, 57.28543455462226"
"955.9953681953095, 60.237996236274846"
"957.484399440646, 62.629580332517136"
"959.4945916218502, 65.49509802717382"
"965.3018134786621, 67.75990191294802"
"971.2579384600078, 69.75940891623425"
"981.6811571773627, 72.27572810287003"
"997.3159852533951, 73.03078894120387"
"1013.6953289520957, 72.64082694944855"
"1030.0746726507962, 70.91461191118918"
"1046.4540163494967, 70.50883627391312"
"1062.8333600481974, 70.41142672429186"
"1079.2127037468977, 70.6856378444084"
"1095.5920474455984, 70.67520334515132"
"1111.9713911442989, 70.68058249141498"
"1128.3507348429994, 70.59898658731449"
"1144.7300785417, 70.07460860863274"
"1161.1094222404006, 69.95347859073033"
"1177.488765939101, 70.2276897108469"
"1193.8681096378018, 70.5651554130465"
"1210.247453336502, 70.60216185035168"
"1226.6267970352028, 71.22427317192492"
"1243.0061407339033, 71.42732288719807"
"1259.3854844326038, 71.73316129835615"
"1275.7648281313045, 71.80970184946324"
"1292.144171830005, 70.76347356859645"
"1308.5235155287055, 71.63069639574147"
"1324.9028592274062, 71.84955975653537"
"1341.2822029261065, 72.16330499045382"
"1357.6615466248072, 71.5914860752098"
"1374.0408903235077, 71.66011980355651"
"1390.4202340222082, 72.41664711205621"
"1406.799577720909, 73.95594987383345"
"1423.1789214196092, 74.86270681478035"
"1439.55826511831, 75.326681681146"
"1455.9376088170104, 75.61670644678333"
"1472.316952515711, 76.07277449038861"
"1488.6962962144116, 76.49721524295236"
"1505.0756399131121, 76.26538970640466"
"1521.4549836118126, 75.4800865766304"
"1537.8343273105133, 74.62362204201273"
"1554.2136710092136, 73.55367329286483"
"1570.5930147079143, 72.46791089819615"
"1586.2278427839467, 70.93869064105641"
"1599.6291239919744, 68.93402200746951"
"1609.307827086661, 66.5428888716931"
"1616.752983313343, 64.87181896083888"
"1623.453623917357, 62.83121998032311"
"1629.4097488987027, 60.677668328720145"
"1634.62135825738, 58.676437909640704"
"1639.8329676160574, 56.63171996537917"
"1645.044576974735, 54.7899438053007"
"1649.1394128994102, 52.629431468799595"
"1650.6284441447465, 50.25913155760349"
"1652.117475390083, 47.69313778308799"
"1652.9860769498625, 45.453396192759996"
"1655.1699894430226, 42.91338769859328"
"1656.5845691260922, 39.99515645954152"
"1658.0736003714287, 37.45090644761706"
"1659.562631616765, 34.90665643569261"
"1661.0516628621015, 32.40589394895025"
"1662.540694107438, 30.035594037754137"
"1664.0297253527742, 27.70878165174011"
"1665.5932081603773, 25.151473892822423"
"1667.6778519038485, 22.246185506377685"
"1669.613592522786, 19.640984022566585"
"1671.8471393907905, 17.50250268462206"
"1674.8252018814633, 15.117477142926148"
"1677.5054581230688, 12.312118148891258"
"1682.2703581081453, 9.98045147505968"
"1691.9490612028321, 7.330567564449865"
"1704.6058267881915, 5.601193220706932"
"1719.4961392415557, 3.8216172836218476"
"1735.8754829402562, 1.9135453218737268"
"1752.2548266389567, 0.6222055354351994"
"1768.6341703376572, 0.27177765748179183"
"1785.013514036358, 0.14274081681901407"
"1794.6922171310446, 0.03055167115292079"
"1800.00000 , 0.000000000000"
