Wavelength,Efficiency
1585.4833271612783,70.44671503916283
1586.2278427839467,70.37404559130448
1599.6291239919744,68.64203903748657
1600.3736396146426,68.50814882551407
1609.307827086661,66.7448382033577
1615.2639520680068,65.69632380964613
1616.752983313343,65.4330231618395
1623.453623917357,64.0992245185097
1629.4097488987027,62.74622565022789
1630.1542645213708,62.565770922239466
1634.62135825738,61.440603062455054
1639.8329676160574,60.06184449686609
1644.3000613520667,58.9071976570534
1645.044576974735,58.76642450653722
1649.1394128994102,57.376382108641735
1650.6284441447465,56.062450035723415
1652.117475390083,54.636445380309276
1652.9860769498625,53.42517199383512
1655.1699894430226,51.89394685289231
1655.4677956920898,51.59815497539197
1656.5845691260922,50.23828776361685
1658.0736003714287,48.73911740230022
1659.562631616765,47.2257682492657
1661.0516628621015,45.72660461017462
1662.1684362961037,44.644481645514375
1662.540694107438,44.29165095264894
1664.0297253527742,42.87384101765441
1665.5932081603773,41.29765955156546
1667.3800456547813,39.632051649288925
1667.6778519038485,39.349545829672365
1669.613592522786,37.40438059288626
1670.358108145454,36.668852646168375
1671.8471393907905,35.22507058904705
1673.0383643870596,34.1147109480315
1674.8252018814633,32.49030891743679
1676.3142331267998,31.044443954030726
1677.5054581230688,29.91835962293173
1679.2922956174725,28.25572564083642
1680.781326862809,26.665804438393863
1682.2703581081453,25.148900258571224
1684.50390497615,23.409125899803378
1686.4396455950873,21.521342677371337
1688.226483089491,19.894697871883594
1689.7155143348275,18.623946417442994
