Wavelength,Efficiency
798.9431968295905,-0.031100193258960355
800.1321003963012,0.013097632891188838
810.8322324966975,0.20546039246511816
812.0211360634082,0.21009330484014796
823.0993295490347,0.19502825311856126
829.8546895640686,0.20305913055528027
839.4786732477353,0.28801500059436075
848.4128607197538,0.4013256454847488
855.8580169464358,0.5109151909292398
864.7922044184543,0.7959770902309757
872.2373606451363,1.2408420753553486
880.4270324944866,1.8736718525373732
888.6167043438369,2.5754201314353025
894.5728293251825,3.1138873003452385
904.9960480425375,4.155613084379125
907.2295949105421,4.408201707789065
917.6528136278969,5.74179924520126
921.375391741238,6.2934800273226
925.8424854772472,7.08481150988829
930.3095792132565,8.356635090227266
933.2876417039292,9.809881476308236
934.7766729492657,10.587118927260384
936.8613166927366,11.526908931996587
937.7547354399385,12.43050249741141
939.243766685275,14.814361675897764
939.5415729343422,13.731472763659655
940.7327979306114,15.279673753257061
941.0306041796787,16.224174112486
942.2218291759477,18.124978314116923
942.966344798616,19.822978149370513
943.7108604212842,22.68841399891626
944.0831182326183,21.80772258449095
945.4976979156879,24.403974650280883
946.688922911957,26.13796475248354
946.9867291610242,27.412052575217206
948.4757604063607,29.58402610637374
948.9224697799616,30.28963859703768
949.9647916516972,32.80264724342522
951.1560166479662,35.699489127611876
951.5282744593003,37.35300372725888
952.6450478933027,39.763136821114045
952.9428541423699,38.78809855990778
954.1340791386391,42.920727599812444
954.4318853877064,42.003918205637305
955.9209166330427,45.54291914968448
955.9953681953095,45.90398452738491
957.112141629312,48.940929823763966
957.484399440646,48.42003147927059
958.8989791237155,51.34074654911268
959.4945916218502,52.7224579403603
960.0902041199847,53.72338884823793
961.5792353653212,55.86909415536579
963.3660728597248,57.657957335300374
964.557297855994,59.40523747156364
965.3018134786621,60.10009189031945
966.3441353503977,61.039796617553804
967.5353603466667,62.90497622925952
969.0243915920032,64.6676100572663
971.2579384600078,66.13612594846134
972.002454082676,66.49255449819046
975.5761290714834,68.32237388299879
977.9585790640217,69.71315850134877
981.6811571773627,70.90774331294966
983.9147040453673,71.22999702383055
995.8269540080587,72.28338846894616
997.3159852533951,72.3284173774004
1012.2062977067592,71.80888497711257
1013.6953289520957,71.68362915825804
1028.5856414054597,70.30097603648031
1030.0746726507962,70.2074867394645
1044.9649851041604,69.91544553829507
1046.4540163494967,69.90937877032596
1061.344328802861,69.86662280383173
1062.8333600481974,69.88284933196226
1077.7236725015614,70.15016916055376
1079.2127037468977,70.15760461530198
1094.1030162002621,69.93129273052179
1095.5920474455984,69.89530985207153
1110.4823598989624,69.64277903500563
1111.9713911442989,69.63753689127299
1126.861703597663,69.64915174431894
1128.3507348429994,69.63459670947827
1143.2410472963636,69.34029337080753
1144.7300785417,69.31849390790401
1159.620390995064,69.32429102397768
1161.1094222404006,69.34105839828655
1175.9997346937648,69.61285109539389
1177.488765939101,69.649847721273
1192.379078392465,69.97428087466963
1193.8681096378018,69.98647652299547
1208.7584220911658,70.00009258200788
1210.247453336502,70.01822725229175
1225.1377657898663,70.35774046236799
1226.6267970352028,70.37668834236719
1241.5171094885668,70.37780724855999
1243.0061407339033,70.38614348514052
1257.8964531872675,70.67745747339362
1259.3854844326038,70.71628267160563
1274.275796885968,70.88426049900781
1275.7648281313045,70.85020037506723
1290.6551405846685,70.32689442878909
1292.144171830005,70.32995899549945
1307.0344842833692,70.93438596364943
1308.5235155287055,70.97235142290853
1323.4138279820695,70.93976032962078
1324.9028592274062,70.95674292677194
1339.7931716807702,71.35554426846288
1341.2822029261065,71.36094636768473
1356.1725153794707,71.02931985517321
1357.6615466248072,71.00999341106373
1372.5518590781712,71.22328669362984
1374.0408903235077,71.26367838618123
1388.931202776872,71.85938840862084
1390.4202340222082,71.95885217028342
1405.3105464755724,73.24335355803076
1406.799577720909,73.366853072481
1421.689890174273,74.25745757851448
1423.1789214196092,74.31530415646455
1438.0692338729737,74.69855553815574
1439.55826511831,74.72479763902228
1454.448577571674,74.92968104290541
1455.9376088170104,74.9461353579544
1470.8279212703746,75.11973217658635
1472.316952515711,75.14017668674197
1487.2072649690751,75.27472814388827
1488.6962962144116,75.26812766712192
1503.5866086677756,75.03387752114052
1505.0756399131121,75.00884272827032
1519.9659523664764,74.70427192720682
1521.4549836118126,74.65418743998632
1536.3452960651766,73.98316028329853
1537.8343273105133,73.90976033221324
1552.7246397638773,73.08011030847021
1554.2136710092136,72.97873083484482
1569.1039834625778,71.8377693203206
1570.5930147079143,71.71995319387852
1585.4833271612783,70.44671503916283
1586.2278427839467,70.37404559130448
1599.6291239919744,68.64203903748657
1600.3736396146426,68.50814882551407
1609.307827086661,66.7448382033577
1615.2639520680068,65.69632380964613
1616.752983313343,65.4330231618395
1623.453623917357,64.0992245185097
1629.4097488987027,62.74622565022789
1630.1542645213708,62.565770922239466
1634.62135825738,61.440603062455054
1639.8329676160574,60.06184449686609
1644.3000613520667,58.9071976570534
1645.044576974735,58.76642450653722
1649.1394128994102,57.376382108641735
1650.6284441447465,56.062450035723415
1652.117475390083,54.636445380309276
1652.9860769498625,53.42517199383512
1655.1699894430226,51.89394685289231
1655.4677956920898,51.59815497539197
1656.5845691260922,50.23828776361685
1658.0736003714287,48.73911740230022
1659.562631616765,47.2257682492657
1661.0516628621015,45.72660461017462
1662.1684362961037,44.644481645514375
1662.540694107438,44.29165095264894
1664.0297253527742,42.87384101765441
1665.5932081603773,41.29765955156546
1667.3800456547813,39.632051649288925
1667.6778519038485,39.349545829672365
1669.613592522786,37.40438059288626
1670.358108145454,36.668852646168375
1671.8471393907905,35.22507058904705
